train_acc,train_loss,val_acc,val_loss
0.08532631578947368,3.9685535,0.136,3.6680589
0.16545263157894738,3.4597437,0.1904,3.3244584
0.22477894736842108,3.1231492,0.244,3.0714486
0.2685263157894737,2.8849852,0.28679999999999994,2.8577304
0.3080421052631579,2.6840055,0.3004,2.7745314
0.34404210526315787,2.5156024,0.33240000000000003,2.6561375
0.37326315789473685,2.3830903,0.36800000000000005,2.4694564
0.3936631578947369,2.2832384,0.3832,2.369724
0.4097263157894737,2.2085524,0.3944,2.2942781
0.4196421052631579,2.1699579,0.4052,2.2703226
