train_acc,train_loss,val_acc,val_loss
0.03566315789473685,4.3714895,0.0724,4.027637
0.08530526315789475,3.9384093,0.10959999999999999,3.753041
0.11835789473684212,3.7195919,0.1364,3.6048236
0.14825263157894739,3.5454893,0.1648,3.4327712
0.17873684210526317,3.378411,0.18719999999999998,3.3032768
0.19877894736842106,3.2558851,0.2052,3.2553034
0.22429473684210527,3.1369996,0.22760000000000002,3.121679
0.24050526315789472,3.0542228,0.24719999999999998,3.0705872
0.2483578947368421,3.0014672,0.2468,3.023565
0.25490526315789475,2.970431,0.2452,3.0232165
