train_acc,train_loss,val_acc,val_loss
0.07305263157894737,4.137246,0.1052,3.798693
0.14488421052631578,3.58256,0.1864,3.3560827
0.20597894736842107,3.2233584,0.23600000000000002,3.1291955
0.24627368421052637,2.971939,0.28119999999999995,2.8452451
0.2859578947368421,2.7843616,0.2844,2.7930818
0.31122105263157895,2.645406,0.3136,2.614003
0.3326736842105263,2.5446253,0.3328,2.5263698
0.3510736842105263,2.4647918,0.33759999999999996,2.4720712
0.36130526315789474,2.417255,0.35359999999999997,2.4396503
0.36907368421052633,2.3844695,0.35839999999999994,2.4150476
