train_acc,train_loss,val_acc,val_loss
0.07381052631578948,4.136625,0.09879999999999999,3.8337674
0.13433684210526317,3.6165493,0.166,3.3976574
0.20581052631578947,3.221602,0.20279999999999998,3.1847916
0.2539157894736842,2.9444714,0.2808,2.82146
0.2905894736842105,2.7590153,0.2668,2.8920372
0.3159368421052631,2.6273618,0.3176,2.6302218
0.3394105263157895,2.5294104,0.3292,2.5492
0.3531368421052632,2.4610572,0.3436,2.4742286
0.36343157894736844,2.412028,0.3552,2.4297006
0.3701473684210526,2.3832715,0.3556,2.4110382
