train_acc,train_loss,val_acc,val_loss
0.03701052631578948,4.367321,0.08639999999999999,4.004022
0.08728421052631581,3.9308228,0.1128,3.7531097
0.11814736842105264,3.7246292,0.1464,3.6126685
0.14751578947368424,3.5468435,0.17559999999999998,3.4060833
0.17926315789473685,3.372833,0.19200000000000003,3.2974634
0.20351578947368423,3.239816,0.19879999999999998,3.2686312
0.2251157894736842,3.1253269,0.218,3.2090669
0.2426105263157895,3.0361912,0.2516,3.050589
0.2547578947368421,2.983579,0.2492,3.025173
0.2594947368421053,2.951805,0.25239999999999996,3.0287952
