train_acc,train_loss,val_acc,val_loss
0.08482105263157896,4.0484366,0.1176,3.7245038
0.15374736842105263,3.5310712,0.1728,3.445015
0.2139578947368421,3.188401,0.214,3.188963
0.25734736842105266,2.9400673,0.27080000000000004,2.8935056
0.2924,2.764011,0.276,2.8336651
0.3202315789473684,2.6378477,0.3064,2.6821527
0.33955789473684217,2.5401626,0.3204,2.5610733
0.35614736842105255,2.4651306,0.3488,2.4880977
0.36402105263157897,2.4140122,0.35319999999999996,2.4377718
0.3742105263157895,2.3825133,0.36279999999999996,2.4103823
